2025-07-30 10:29:01.190 [main] INFO  c.k.t.TliasWebManagement1Application-Starting TliasWebManagement1Application using Java 17.0.14 with PID 19820 (F:\学习资料\编程\后端开发\kei\tlias-web-management1\target\classes started by hp in F:\学习资料\编程\后端开发\kei\tlias-web-management1)
2025-07-30 10:29:01.193 [main] INFO  c.k.t.TliasWebManagement1Application-No active profile set, falling back to 1 default profile: "default"
2025-07-30 10:29:03.310 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2025-07-30 10:29:03.324 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2025-07-30 10:29:03.326 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2025-07-30 10:29:03.354 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.40]
2025-07-30 10:29:03.432 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2025-07-30 10:29:03.433 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 2173 ms
2025-07-30 10:29:05.368 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver-Exposing 1 endpoint beneath base path '/actuator'
2025-07-30 10:29:05.444 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2025-07-30 10:29:05.467 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2025-07-30 10:29:05.485 [main] INFO  c.k.t.TliasWebManagement1Application-Started TliasWebManagement1Application in 4.832 seconds (process running for 6.866)
2025-07-30 10:29:05.742 [RMI TCP Connection(2)-192.168.3.75] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-07-30 10:29:05.742 [RMI TCP Connection(2)-192.168.3.75] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2025-07-30 10:29:05.744 [RMI TCP Connection(2)-192.168.3.75] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 1 ms
2025-07-30 10:29:05.746 [RMI TCP Connection(3)-192.168.3.75] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2025-07-30 10:29:07.067 [RMI TCP Connection(3)-192.168.3.75] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@9248602
2025-07-30 10:29:07.085 [RMI TCP Connection(3)-192.168.3.75] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
2025-07-30 11:10:47.822 [http-nio-8080-exec-2] INFO  c.k.t.interceptor.TokenInterceptor-token解析失败，用户请重新登录~喵
2025-07-30 11:10:47.822 [http-nio-8080-exec-1] INFO  c.k.t.interceptor.TokenInterceptor-token解析失败，用户请重新登录~喵
2025-07-30 11:10:51.702 [http-nio-8080-exec-3] INFO  c.k.tliaswebmanagement1.controller.LoginController-员工登录：Emp{id=null, username='Kasumi', password='krkrdkdk', name='null', gender=null, phone='null', job=null, salary=null, image='null', entryDate=null, deptId=null, createTime=null, updateTime=null, deptName='null', exprList=null}
2025-07-30 11:10:51.736 [http-nio-8080-exec-3] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-before
2025-07-30 11:10:51.737 [http-nio-8080-exec-3] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标对象：com.kei.tliaswebmanagement1.service.Impl.EmpServiceImpl@4cc7cec6
2025-07-30 11:10:51.741 [http-nio-8080-exec-3] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标类：com.kei.tliaswebmanagement1.service.Impl.EmpServiceImpl
2025-07-30 11:10:51.745 [http-nio-8080-exec-3] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法：login
2025-07-30 11:10:51.745 [http-nio-8080-exec-3] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法参数：Emp{id=null, username='Kasumi', password='krkrdkdk', name='null', gender=null, phone='null', job=null, salary=null, image='null', entryDate=null, deptId=null, createTime=null, updateTime=null, deptName='null', exprList=null}
2025-07-30 11:10:53.055 [http-nio-8080-exec-3] INFO  c.k.t.service.Impl.EmpServiceImpl-登录成功：Emp{id=1, username='Kasumi', password='krkrdkdk', name='户山 香澄', gender=2, phone='13600000001', job=1, salary=10000, image='https://kei-web.oss-cn-beijing.aliyuncs.com/2025/07/0a52aa6d-7204-47c5-aeb8-62bad4a96111.jpeg', entryDate=2025-04-02, deptId=1, createTime=2025-04-02T20:41, updateTime=2025-07-23T16:17, deptName='null', exprList=null}
2025-07-30 11:10:55.673 [http-nio-8080-exec-6] INFO  c.k.t.interceptor.TokenInterceptor-当前用户id为：1，并存入ThreadLocal
2025-07-30 11:10:55.673 [http-nio-8080-exec-6] INFO  c.k.t.interceptor.TokenInterceptor-token校验成功，放行~
2025-07-30 11:10:55.673 [http-nio-8080-exec-5] INFO  c.k.t.interceptor.TokenInterceptor-当前用户id为：1，并存入ThreadLocal
2025-07-30 11:10:55.673 [http-nio-8080-exec-5] INFO  c.k.t.interceptor.TokenInterceptor-token校验成功，放行~
2025-07-30 11:10:55.674 [http-nio-8080-exec-6] INFO  c.k.tliaswebmanagement1.controller.DeptController-查询全部乐队数据
2025-07-30 11:10:55.674 [http-nio-8080-exec-6] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-before
2025-07-30 11:10:55.674 [http-nio-8080-exec-6] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标对象：com.kei.tliaswebmanagement1.service.Impl.DeptServiceImpl@20288ed8
2025-07-30 11:10:55.674 [http-nio-8080-exec-6] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标类：com.kei.tliaswebmanagement1.service.Impl.DeptServiceImpl
2025-07-30 11:10:55.674 [http-nio-8080-exec-6] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法：findAll
2025-07-30 11:10:55.674 [http-nio-8080-exec-6] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法参数：{}
2025-07-30 11:10:55.695 [http-nio-8080-exec-5] INFO  c.kei.tliaswebmanagement1.controller.EmpController-分页查询：EmpQueryParam(name=, gender=null, begin=null, end=null, page=1, pageSize=5)
2025-07-30 11:10:55.696 [http-nio-8080-exec-5] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-before
2025-07-30 11:10:55.696 [http-nio-8080-exec-5] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标对象：com.kei.tliaswebmanagement1.service.Impl.EmpServiceImpl@4cc7cec6
2025-07-30 11:10:55.696 [http-nio-8080-exec-5] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标类：com.kei.tliaswebmanagement1.service.Impl.EmpServiceImpl
2025-07-30 11:10:55.696 [http-nio-8080-exec-5] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法：pageByPageHelper
2025-07-30 11:10:55.697 [http-nio-8080-exec-5] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标方法参数：EmpQueryParam(name=, gender=null, begin=null, end=null, page=1, pageSize=5)
2025-07-30 11:10:55.758 [http-nio-8080-exec-6] INFO  c.k.t.interceptor.TokenInterceptor-null
2025-07-30 11:10:56.247 [http-nio-8080-exec-5] INFO  c.k.t.interceptor.TokenInterceptor-null
2025-07-30 11:34:52.103 [http-nio-8080-exec-9] INFO  c.k.t.interceptor.TokenInterceptor-当前用户id为：1，并存入ThreadLocal
2025-07-30 11:34:52.116 [http-nio-8080-exec-7] INFO  c.k.t.interceptor.TokenInterceptor-当前用户id为：1，并存入ThreadLocal
2025-07-30 11:34:52.123 [http-nio-8080-exec-9] INFO  c.k.t.interceptor.TokenInterceptor-token校验成功，放行~
2025-07-30 11:34:52.124 [http-nio-8080-exec-7] INFO  c.k.t.interceptor.TokenInterceptor-token校验成功，放行~
2025-07-30 11:34:52.135 [http-nio-8080-exec-9] INFO  c.kei.tliaswebmanagement1.controller.EmpController-查询所有员工
2025-07-30 11:34:52.140 [http-nio-8080-exec-7] INFO  c.k.t.controller.ClazzsController-查询所有班级
2025-07-30 11:34:52.141 [http-nio-8080-exec-9] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-before
2025-07-30 11:34:52.143 [http-nio-8080-exec-7] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-before
2025-07-30 11:34:52.143 [http-nio-8080-exec-9] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标对象：com.kei.tliaswebmanagement1.service.Impl.EmpServiceImpl@4cc7cec6
2025-07-30 11:34:52.182 [http-nio-8080-exec-7] INFO  com.kei.tliaswebmanagement1.aop.RecordTimeAspect-目标对象：com.kei.tliaswebmanagement1.service.Impl.ClazzsServiceImpl@446e99e2
